16:20:38:593 [ALWAYS]	GUDE Logging Started
16:20:38:594 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:20:38:594 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:20:38:594 [ERROR]	Initialize resume cache pointer failure
16:20:38:594 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
16:20:38:594 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
16:20:43:184 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
16:20:43:184 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:20:43:184 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:20:43:184 [ERROR]	Initialize resume cache pointer failure
16:20:43:184 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
16:20:43:184 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
